Timestamp: 2000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 2000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 18	 True labels: [2]
Removed examples from short-time-memory: 24263	 True labels: [3]
Removed examples from short-time-memory: 24264	 True labels: [0, 2]
Removed examples from short-time-memory: 24282	 True labels: [2]
Removed examples from short-time-memory: 24290	 True labels: [0, 2]
Removed examples from short-time-memory: 24295	 True labels: [1]
Removed examples from short-time-memory: 24300	 True labels: [3]
Removed examples from short-time-memory: 24307	 True labels: [3]
Removed examples from short-time-memory: 24316	 True labels: [3]
Removed examples from short-time-memory: 24320	 True labels: [0, 2]
Removed examples from short-time-memory: 24324	 True labels: [1]
Removed examples from short-time-memory: 24334	 True labels: [4]
Removed examples from short-time-memory: 24342	 True labels: [4]
Removed examples from short-time-memory: 24357	 True labels: [1]
Removed examples from short-time-memory: 24366	 True labels: [0, 2]
Removed examples from short-time-memory: 24374	 True labels: [0, 2]
Removed examples from short-time-memory: 24377	 True labels: [1]
Removed examples from short-time-memory: 24381	 True labels: [1]
Removed examples from short-time-memory: 24396	 True labels: [0, 2]
Removed examples from short-time-memory: 24398	 True labels: [4]
Removed examples from short-time-memory: 24400	 True labels: [0, 2]
Removed examples from short-time-memory: 24409	 True labels: [2]
Removed examples from short-time-memory: 24411	 True labels: [0, 2]
Removed examples from short-time-memory: 24422	 True labels: [4]
Removed examples from short-time-memory: 24424	 True labels: [3]
Removed examples from short-time-memory: 24426	 True labels: [2]
Removed examples from short-time-memory: 24427	 True labels: [2]
Removed examples from short-time-memory: 24432	 True labels: [3]
Removed examples from short-time-memory: 24435	 True labels: [0, 2]
Removed examples from short-time-memory: 24446	 True labels: [0, 2]
Removed examples from short-time-memory: 24454	 True labels: [4]
Removed examples from short-time-memory: 24456	 True labels: [2]
Removed examples from short-time-memory: 24459	 True labels: [0, 2]
Removed examples from short-time-memory: 24461	 True labels: [2]
Removed examples from short-time-memory: 24466	 True labels: [4]
Removed examples from short-time-memory: 24467	 True labels: [3]
Removed examples from short-time-memory: 24472	 True labels: [1]
Removed examples from short-time-memory: 24482	 True labels: [2]
Removed examples from short-time-memory: 24501	 True labels: [0, 2]
Removed examples from short-time-memory: 24514	 True labels: [3]
Removed examples from short-time-memory: 24517	 True labels: [3]
Removed examples from short-time-memory: 24519	 True labels: [0, 2]
Removed examples from short-time-memory: 24526	 True labels: [2]
Removed examples from short-time-memory: 24527	 True labels: [0, 2]
Removed examples from short-time-memory: 24528	 True labels: [2]
Removed examples from short-time-memory: 24531	 True labels: [0, 2]
Removed examples from short-time-memory: 24535	 True labels: [0, 2]
Removed examples from short-time-memory: 24550	 True labels: [3]
Removed examples from short-time-memory: 24557	 True labels: [3]
Removed examples from short-time-memory: 24560	 True labels: [1]
Removed examples from short-time-memory: 24571	 True labels: [1]
Removed examples from short-time-memory: 24572	 True labels: [0, 2]
Removed examples from short-time-memory: 24582	 True labels: [0, 2]
Removed examples from short-time-memory: 24584	 True labels: [0, 2]
Removed examples from short-time-memory: 24586	 True labels: [2]
Removed examples from short-time-memory: 24587	 True labels: [3]
Removed examples from short-time-memory: 24589	 True labels: [2]
Removed examples from short-time-memory: 24598	 True labels: [4]
Removed examples from short-time-memory: 24601	 True labels: [2]
Removed examples from short-time-memory: 24623	 True labels: [3]
Removed examples from short-time-memory: 24630	 True labels: [3]
Removed examples from short-time-memory: 24636	 True labels: [4]
Removed examples from short-time-memory: 24639	 True labels: [0, 2]
Removed examples from short-time-memory: 24668	 True labels: [3]
Removed examples from short-time-memory: 24682	 True labels: [0, 2]
Removed examples from short-time-memory: 24685	 True labels: [0, 2]
Removed examples from short-time-memory: 24687	 True labels: [0, 2]
Removed examples from short-time-memory: 24689	 True labels: [2]
Removed examples from short-time-memory: 24692	 True labels: [0, 2]
Removed examples from short-time-memory: 24693	 True labels: [3]
Removed examples from short-time-memory: 24702	 True labels: [3]
Removed examples from short-time-memory: 24706	 True labels: [0, 2]
Removed examples from short-time-memory: 24712	 True labels: [3]
Removed examples from short-time-memory: 24718	 True labels: [3]
Removed examples from short-time-memory: 24728	 True labels: [4]
Removed examples from short-time-memory: 24731	 True labels: [4]
Removed examples from short-time-memory: 24734	 True labels: [3]
Removed examples from short-time-memory: 24764	 True labels: [3]
Removed examples from short-time-memory: 24770	 True labels: [0, 2]
Removed examples from short-time-memory: 24771	 True labels: [0, 2]
Removed examples from short-time-memory: 24778	 True labels: [3]
Removed examples from short-time-memory: 24787	 True labels: [4]
Removed examples from short-time-memory: 24791	 True labels: [0, 2]
Removed examples from short-time-memory: 24796	 True labels: [0, 2]
Removed examples from short-time-memory: 24804	 True labels: [4]
Removed examples from short-time-memory: 24819	 True labels: [0, 2]
Removed examples from short-time-memory: 24827	 True labels: [3]
Removed examples from short-time-memory: 24832	 True labels: [2]
Removed examples from short-time-memory: 24836	 True labels: [0, 2]
Removed examples from short-time-memory: 24858	 True labels: [3]
Removed examples from short-time-memory: 24863	 True labels: [2]
Removed examples from short-time-memory: 24868	 True labels: [2]
Removed examples from short-time-memory: 24873	 True labels: [4]
Removed examples from short-time-memory: 24876	 True labels: [0, 2]
Removed examples from short-time-memory: 24880	 True labels: [3]
Removed examples from short-time-memory: 24888	 True labels: [2]
Removed examples from short-time-memory: 24889	 True labels: [3]
Removed examples from short-time-memory: 24898	 True labels: [4]
Removed examples from short-time-memory: 24906	 True labels: [3]
Removed examples from short-time-memory: 24913	 True labels: [3]
Removed examples from short-time-memory: 24923	 True labels: [0, 2]
Removed examples from short-time-memory: 24949	 True labels: [1]
Removed examples from short-time-memory: 24955	 True labels: [1, 2]
Removed examples from short-time-memory: 24969	 True labels: [3]
Removed examples from short-time-memory: 24970	 True labels: [3]
Removed examples from short-time-memory: 24980	 True labels: [4]
Removed examples from short-time-memory: 24981	 True labels: [3]
Removed examples from short-time-memory: 24983	 True labels: [0, 2]
Removed examples from short-time-memory: 24988	 True labels: [3]
Removed examples from short-time-memory: 24999	 True labels: [3]
Removed examples from short-time-memory: 25000	 True labels: [1]
Removed examples from short-time-memory: 25009	 True labels: [0, 2]
Removed examples from short-time-memory: 25019	 True labels: [0, 2]
Removed examples from short-time-memory: 25024	 True labels: [1, 2]
Removed examples from short-time-memory: 25025	 True labels: [2]
Removed examples from short-time-memory: 25029	 True labels: [3]
Removed examples from short-time-memory: 25031	 True labels: [2]
Removed examples from short-time-memory: 25037	 True labels: [4]
Removed examples from short-time-memory: 25052	 True labels: [1]
Removed examples from short-time-memory: 25071	 True labels: [0, 2]
Removed examples from short-time-memory: 25072	 True labels: [3]
Removed examples from short-time-memory: 25073	 True labels: [2]
Removed examples from short-time-memory: 25084	 True labels: [3]
Removed examples from short-time-memory: 25103	 True labels: [0, 2]
Removed examples from short-time-memory: 25110	 True labels: [0, 2]
Removed examples from short-time-memory: 25130	 True labels: [2]
Removed examples from short-time-memory: 25134	 True labels: [2]
Removed examples from short-time-memory: 25137	 True labels: [3]
Removed examples from short-time-memory: 25142	 True labels: [4]
Removed examples from short-time-memory: 25143	 True labels: [3]
Removed examples from short-time-memory: 25149	 True labels: [2]
Removed examples from short-time-memory: 25152	 True labels: [4]
Removed examples from short-time-memory: 25164	 True labels: [2]
Removed examples from short-time-memory: 25181	 True labels: [3]
Removed examples from short-time-memory: 25187	 True labels: [2]
Removed examples from short-time-memory: 25189	 True labels: [0, 2]
Removed examples from short-time-memory: 25191	 True labels: [4]
Removed examples from short-time-memory: 25201	 True labels: [0, 2]
Removed examples from short-time-memory: 25211	 True labels: [0, 2]
Removed examples from short-time-memory: 25212	 True labels: [4]
Removed examples from short-time-memory: 25214	 True labels: [4]
Removed examples from short-time-memory: 25218	 True labels: [3]
Removed examples from short-time-memory: 25221	 True labels: [1]
Removed examples from short-time-memory: 25223	 True labels: [4]
Removed examples from short-time-memory: 25226	 True labels: [3]
Removed examples from short-time-memory: 25227	 True labels: [3]
Removed examples from short-time-memory: 25228	 True labels: [2]
Removed examples from short-time-memory: 25235	 True labels: [3]
Removed examples from short-time-memory: 25236	 True labels: [4]
Removed examples from short-time-memory: 25238	 True labels: [1]
Removed examples from short-time-memory: 25240	 True labels: [0, 2]
Removed examples from short-time-memory: 25245	 True labels: [0, 2]
Removed examples from short-time-memory: 25248	 True labels: [0, 2]
Removed examples from short-time-memory: 25249	 True labels: [3]
Removed examples from short-time-memory: 25264	 True labels: [0]
Removed examples from short-time-memory: 25265	 True labels: [4]
Removed examples from short-time-memory: 25268	 True labels: [2]
Removed examples from short-time-memory: 25275	 True labels: [0, 2]
Removed examples from short-time-memory: 25276	 True labels: [3]
Removed examples from short-time-memory: 25277	 True labels: [1]
Removed examples from short-time-memory: 25280	 True labels: [0, 2]
Removed examples from short-time-memory: 25285	 True labels: [0, 2]
Removed examples from short-time-memory: 25287	 True labels: [0, 2]
Removed examples from short-time-memory: 25296	 True labels: [3]
Removed examples from short-time-memory: 25313	 True labels: [2]
Removed examples from short-time-memory: 25322	 True labels: [4]
Removed examples from short-time-memory: 25332	 True labels: [0, 2]
Removed examples from short-time-memory: 25336	 True labels: [0, 2]
Removed examples from short-time-memory: 25341	 True labels: [2]
Removed examples from short-time-memory: 25346	 True labels: [0, 2]
Removed examples from short-time-memory: 25352	 True labels: [0, 2]
Removed examples from short-time-memory: 25371	 True labels: [3]
Removed examples from short-time-memory: 25378	 True labels: [2]
Removed examples from short-time-memory: 25386	 True labels: [3]
Removed examples from short-time-memory: 25424	 True labels: [4]
Removed examples from short-time-memory: 25429	 True labels: [0, 2]
Removed examples from short-time-memory: 25431	 True labels: [0, 2]
Removed examples from short-time-memory: 25432	 True labels: [2]
Removed examples from short-time-memory: 25452	 True labels: [3]
Removed examples from short-time-memory: 25462	 True labels: [2]
Removed examples from short-time-memory: 25471	 True labels: [0, 2]
Removed examples from short-time-memory: 25476	 True labels: [0, 2]
Removed examples from short-time-memory: 25478	 True labels: [3]
Removed examples from short-time-memory: 25481	 True labels: [1]
Removed examples from short-time-memory: 25488	 True labels: [0, 2]
Removed examples from short-time-memory: 25491	 True labels: [1]
Removed examples from short-time-memory: 25493	 True labels: [2]
Removed examples from short-time-memory: 25494	 True labels: [3]
Removed examples from short-time-memory: 25498	 True labels: [1]
Removed examples from short-time-memory: 25509	 True labels: [2]
Removed examples from short-time-memory: 25513	 True labels: [4]
Removed examples from short-time-memory: 25514	 True labels: [3]
Removed examples from short-time-memory: 25518	 True labels: [0, 2]
Removed examples from short-time-memory: 25522	 True labels: [3]
Removed examples from short-time-memory: 25537	 True labels: [1]
Removed examples from short-time-memory: 25547	 True labels: [0, 2]
Removed examples from short-time-memory: 25551	 True labels: [0, 2]
Removed examples from short-time-memory: 25552	 True labels: [0, 2]
Removed examples from short-time-memory: 25556	 True labels: [4]
Removed examples from short-time-memory: 25560	 True labels: [1]
Removed examples from short-time-memory: 25565	 True labels: [3]
Removed examples from short-time-memory: 25593	 True labels: [2]
Removed examples from short-time-memory: 25600	 True labels: [0, 2]
Removed examples from short-time-memory: 25603	 True labels: [4]
Removed examples from short-time-memory: 25606	 True labels: [4]
Removed examples from short-time-memory: 25615	 True labels: [3]
Removed examples from short-time-memory: 25628	 True labels: [3]
Removed examples from short-time-memory: 25631	 True labels: [0, 2]
Removed examples from short-time-memory: 25632	 True labels: [1]
Removed examples from short-time-memory: 25633	 True labels: [0, 2]
Removed examples from short-time-memory: 25640	 True labels: [2]
Removed examples from short-time-memory: 25644	 True labels: [0, 2]
Removed examples from short-time-memory: 25645	 True labels: [0]
Removed examples from short-time-memory: 25655	 True labels: [3]
Removed examples from short-time-memory: 25660	 True labels: [4]
Removed examples from short-time-memory: 25667	 True labels: [4]
Removed examples from short-time-memory: 25674	 True labels: [0, 2]
Removed examples from short-time-memory: 25680	 True labels: [4]
Removed examples from short-time-memory: 25681	 True labels: [0, 2]
Removed examples from short-time-memory: 25683	 True labels: [0, 2]
Removed examples from short-time-memory: 25687	 True labels: [0, 2]
Removed examples from short-time-memory: 25689	 True labels: [1]
Removed examples from short-time-memory: 25695	 True labels: [4]
Removed examples from short-time-memory: 25704	 True labels: [0, 2]
Removed examples from short-time-memory: 25718	 True labels: [2]
Removed examples from short-time-memory: 25733	 True labels: [0, 2]
Removed examples from short-time-memory: 25736	 True labels: [0, 2]
Removed examples from short-time-memory: 25738	 True labels: [2]
Removed examples from short-time-memory: 25741	 True labels: [2]
Removed examples from short-time-memory: 25742	 True labels: [0]
Removed examples from short-time-memory: 25751	 True labels: [0, 2]
Removed examples from short-time-memory: 25763	 True labels: [0]
Removed examples from short-time-memory: 25765	 True labels: [3]
Removed examples from short-time-memory: 25766	 True labels: [0, 2]
Removed examples from short-time-memory: 25778	 True labels: [0, 2]
Removed examples from short-time-memory: 25783	 True labels: [1]
Removed examples from short-time-memory: 25787	 True labels: [3]
Removed examples from short-time-memory: 25792	 True labels: [2]
Removed examples from short-time-memory: 25795	 True labels: [4]
Removed examples from short-time-memory: 25796	 True labels: [3]
Removed examples from short-time-memory: 25805	 True labels: [0, 2]
Removed examples from short-time-memory: 25812	 True labels: [1]
Removed examples from short-time-memory: 25820	 True labels: [3]
Removed examples from short-time-memory: 25825	 True labels: [4]
Removed examples from short-time-memory: 25826	 True labels: [3]
Removed examples from short-time-memory: 25834	 True labels: [0, 2]
Removed examples from short-time-memory: 25840	 True labels: [4]
Removed examples from short-time-memory: 25842	 True labels: [3]
Removed examples from short-time-memory: 25845	 True labels: [1]
Removed examples from short-time-memory: 25868	 True labels: [3]
Removed examples from short-time-memory: 25872	 True labels: [0, 2]
Removed examples from short-time-memory: 25875	 True labels: [3]
Removed examples from short-time-memory: 25887	 True labels: [3]
Removed examples from short-time-memory: 25891	 True labels: [0, 2]
Removed examples from short-time-memory: 25894	 True labels: [2]
Removed examples from short-time-memory: 25898	 True labels: [4]
Removed examples from short-time-memory: 25899	 True labels: [0, 2]
Removed examples from short-time-memory: 25914	 True labels: [0, 2]
Removed examples from short-time-memory: 25925	 True labels: [2]
Removed examples from short-time-memory: 25932	 True labels: [0, 2]
Removed examples from short-time-memory: 25937	 True labels: [1]
Removed examples from short-time-memory: 25947	 True labels: [3]
Removed examples from short-time-memory: 25956	 True labels: [0, 2]
Removed examples from short-time-memory: 25965	 True labels: [4]
Removed examples from short-time-memory: 25975	 True labels: [3]
Removed examples from short-time-memory: 25980	 True labels: [0, 2]
Removed examples from short-time-memory: 25990	 True labels: [3]
Removed examples from short-time-memory: 25999	 True labels: [3]
Timestamp: 28000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 28000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 28000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 28000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 28000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 26001	 True labels: [0, 2]
Removed examples from short-time-memory: 26011	 True labels: [0, 2]
Removed examples from short-time-memory: 26019	 True labels: [4]
Removed examples from short-time-memory: 26021	 True labels: [3]
Removed examples from short-time-memory: 26025	 True labels: [0]
Removed examples from short-time-memory: 26026	 True labels: [0, 2]
Removed examples from short-time-memory: 26031	 True labels: [0, 2]
Removed examples from short-time-memory: 26036	 True labels: [0, 2]
Removed examples from short-time-memory: 26037	 True labels: [0, 2]
Removed examples from short-time-memory: 26046	 True labels: [1]
Removed examples from short-time-memory: 26052	 True labels: [0, 2]
Removed examples from short-time-memory: 26057	 True labels: [0, 2]
Removed examples from short-time-memory: 26085	 True labels: [3]
Removed examples from short-time-memory: 26093	 True labels: [0, 2]
Removed examples from short-time-memory: 26121	 True labels: [0, 2]
Removed examples from short-time-memory: 26125	 True labels: [0, 2]
Removed examples from short-time-memory: 26145	 True labels: [3]
Removed examples from short-time-memory: 26152	 True labels: [3]
Removed examples from short-time-memory: 26153	 True labels: [3]
Removed examples from short-time-memory: 26155	 True labels: [0, 2]
Removed examples from short-time-memory: 26160	 True labels: [3]
Removed examples from short-time-memory: 26166	 True labels: [2]
Removed examples from short-time-memory: 26169	 True labels: [0, 2]
Removed examples from short-time-memory: 26170	 True labels: [3]
Removed examples from short-time-memory: 26174	 True labels: [2]
Removed examples from short-time-memory: 26185	 True labels: [3]
Removed examples from short-time-memory: 26188	 True labels: [1, 2]
Removed examples from short-time-memory: 26193	 True labels: [1, 2]
Removed examples from short-time-memory: 26200	 True labels: [2]
Removed examples from short-time-memory: 26205	 True labels: [2]
Removed examples from short-time-memory: 26206	 True labels: [2]
Removed examples from short-time-memory: 26212	 True labels: [1]
Removed examples from short-time-memory: 26226	 True labels: [0, 2]
Removed examples from short-time-memory: 26228	 True labels: [2]
Removed examples from short-time-memory: 26229	 True labels: [2]
Removed examples from short-time-memory: 26230	 True labels: [3]
Removed examples from short-time-memory: 26232	 True labels: [4]
Removed examples from short-time-memory: 26234	 True labels: [4]
Removed examples from short-time-memory: 26247	 True labels: [4]
Removed examples from short-time-memory: 26259	 True labels: [0, 2]
Removed examples from short-time-memory: 26269	 True labels: [3]
Removed examples from short-time-memory: 26274	 True labels: [0, 2]
Removed examples from short-time-memory: 26275	 True labels: [1]
Removed examples from short-time-memory: 26276	 True labels: [3]
Removed examples from short-time-memory: 26281	 True labels: [2]
Removed examples from short-time-memory: 26284	 True labels: [0, 2]
Removed examples from short-time-memory: 26286	 True labels: [2]
Removed examples from short-time-memory: 26288	 True labels: [3]
Removed examples from short-time-memory: 26290	 True labels: [0, 2]
Removed examples from short-time-memory: 26292	 True labels: [1]
Removed examples from short-time-memory: 26295	 True labels: [1]
Removed examples from short-time-memory: 26297	 True labels: [3]
Removed examples from short-time-memory: 26303	 True labels: [4]
Removed examples from short-time-memory: 26306	 True labels: [2]
Removed examples from short-time-memory: 26309	 True labels: [2]
Removed examples from short-time-memory: 26310	 True labels: [2]
Removed examples from short-time-memory: 26323	 True labels: [0, 2]
Removed examples from short-time-memory: 26326	 True labels: [1]
Removed examples from short-time-memory: 26335	 True labels: [0, 2]
Removed examples from short-time-memory: 26336	 True labels: [4]
Removed examples from short-time-memory: 26338	 True labels: [0, 2]
Removed examples from short-time-memory: 26340	 True labels: [3]
Removed examples from short-time-memory: 26343	 True labels: [0, 2]
Removed examples from short-time-memory: 26358	 True labels: [0, 2]
Removed examples from short-time-memory: 26377	 True labels: [0, 2]
Removed examples from short-time-memory: 26381	 True labels: [3]
Removed examples from short-time-memory: 26383	 True labels: [4]
Removed examples from short-time-memory: 26404	 True labels: [0, 2]
Removed examples from short-time-memory: 26410	 True labels: [1]
Removed examples from short-time-memory: 26416	 True labels: [4]
Removed examples from short-time-memory: 26421	 True labels: [0]
Removed examples from short-time-memory: 26423	 True labels: [0, 2]
Removed examples from short-time-memory: 26442	 True labels: [3]
Removed examples from short-time-memory: 26453	 True labels: [0, 2]
Removed examples from short-time-memory: 26454	 True labels: [0, 2]
Removed examples from short-time-memory: 26458	 True labels: [3]
Removed examples from short-time-memory: 26463	 True labels: [2]
Removed examples from short-time-memory: 26467	 True labels: [3]
Removed examples from short-time-memory: 26471	 True labels: [0, 2]
Removed examples from short-time-memory: 26477	 True labels: [3]
Removed examples from short-time-memory: 26479	 True labels: [0, 2]
Removed examples from short-time-memory: 26481	 True labels: [4]
Removed examples from short-time-memory: 26482	 True labels: [4]
Removed examples from short-time-memory: 26487	 True labels: [0, 2]
Removed examples from short-time-memory: 26497	 True labels: [0, 2]
Removed examples from short-time-memory: 26500	 True labels: [3]
Removed examples from short-time-memory: 26504	 True labels: [3]
Removed examples from short-time-memory: 26518	 True labels: [0, 2]
Removed examples from short-time-memory: 26519	 True labels: [0, 2]
Removed examples from short-time-memory: 26537	 True labels: [0, 2]
Removed examples from short-time-memory: 26560	 True labels: [0, 2]
Removed examples from short-time-memory: 26562	 True labels: [3]
Removed examples from short-time-memory: 26583	 True labels: [2]
Removed examples from short-time-memory: 26588	 True labels: [3]
Removed examples from short-time-memory: 26613	 True labels: [4]
Removed examples from short-time-memory: 26617	 True labels: [0, 2]
Removed examples from short-time-memory: 26618	 True labels: [3]
Removed examples from short-time-memory: 26630	 True labels: [0, 2]
Removed examples from short-time-memory: 26632	 True labels: [0, 2]
Removed examples from short-time-memory: 26658	 True labels: [4]
Removed examples from short-time-memory: 26661	 True labels: [2]
Removed examples from short-time-memory: 26666	 True labels: [4]
Removed examples from short-time-memory: 26668	 True labels: [3]
Removed examples from short-time-memory: 26670	 True labels: [0, 2]
Removed examples from short-time-memory: 26673	 True labels: [2]
Removed examples from short-time-memory: 26676	 True labels: [0, 2]
Removed examples from short-time-memory: 26678	 True labels: [1, 2]
Removed examples from short-time-memory: 26682	 True labels: [3]
Removed examples from short-time-memory: 26686	 True labels: [2]
Removed examples from short-time-memory: 26703	 True labels: [0, 2]
Removed examples from short-time-memory: 26706	 True labels: [2]
Removed examples from short-time-memory: 26711	 True labels: [3]
Removed examples from short-time-memory: 26719	 True labels: [3]
Removed examples from short-time-memory: 26723	 True labels: [1]
Removed examples from short-time-memory: 26735	 True labels: [2]
Removed examples from short-time-memory: 26741	 True labels: [1]
Removed examples from short-time-memory: 26742	 True labels: [2]
Removed examples from short-time-memory: 26743	 True labels: [0, 2]
Removed examples from short-time-memory: 26745	 True labels: [2]
Removed examples from short-time-memory: 26748	 True labels: [1]
Removed examples from short-time-memory: 26750	 True labels: [3]
Removed examples from short-time-memory: 26754	 True labels: [3]
Removed examples from short-time-memory: 26756	 True labels: [3]
Removed examples from short-time-memory: 26769	 True labels: [0, 2]
Removed examples from short-time-memory: 26780	 True labels: [0, 2]
Removed examples from short-time-memory: 26781	 True labels: [2]
Removed examples from short-time-memory: 26788	 True labels: [1]
Removed examples from short-time-memory: 26797	 True labels: [0, 2]
Removed examples from short-time-memory: 26801	 True labels: [4]
Removed examples from short-time-memory: 26803	 True labels: [0, 2]
Removed examples from short-time-memory: 26804	 True labels: [3]
Removed examples from short-time-memory: 26817	 True labels: [0, 2]
Removed examples from short-time-memory: 26824	 True labels: [0]
Removed examples from short-time-memory: 26826	 True labels: [4]
Removed examples from short-time-memory: 26827	 True labels: [0, 2]
Removed examples from short-time-memory: 26828	 True labels: [2]
Removed examples from short-time-memory: 26837	 True labels: [0, 2]
Removed examples from short-time-memory: 26842	 True labels: [2]
Removed examples from short-time-memory: 26846	 True labels: [0, 2]
Removed examples from short-time-memory: 26854	 True labels: [0, 2]
Removed examples from short-time-memory: 26860	 True labels: [0, 2]
Removed examples from short-time-memory: 26867	 True labels: [3]
Removed examples from short-time-memory: 26874	 True labels: [2]
Removed examples from short-time-memory: 26886	 True labels: [0, 2]
Removed examples from short-time-memory: 26894	 True labels: [1]
Removed examples from short-time-memory: 26900	 True labels: [2]
Removed examples from short-time-memory: 26903	 True labels: [1]
Removed examples from short-time-memory: 26906	 True labels: [1]
Removed examples from short-time-memory: 26920	 True labels: [3]
Removed examples from short-time-memory: 26921	 True labels: [3]
Removed examples from short-time-memory: 26937	 True labels: [1]
Removed examples from short-time-memory: 26940	 True labels: [0, 2]
Removed examples from short-time-memory: 26944	 True labels: [2]
Removed examples from short-time-memory: 26947	 True labels: [2]
Removed examples from short-time-memory: 26951	 True labels: [0]
Removed examples from short-time-memory: 26959	 True labels: [3]
Removed examples from short-time-memory: 26987	 True labels: [3]
Removed examples from short-time-memory: 26991	 True labels: [3]
Removed examples from short-time-memory: 26997	 True labels: [2]
Removed examples from short-time-memory: 27000	 True labels: [0, 2]
Removed examples from short-time-memory: 27004	 True labels: [4]
Removed examples from short-time-memory: 27006	 True labels: [2]
Removed examples from short-time-memory: 27008	 True labels: [0, 2]
Removed examples from short-time-memory: 27015	 True labels: [2]
Removed examples from short-time-memory: 27018	 True labels: [0, 2]
Removed examples from short-time-memory: 27023	 True labels: [0, 2]
Removed examples from short-time-memory: 27043	 True labels: [2]
Removed examples from short-time-memory: 27044	 True labels: [2]
Removed examples from short-time-memory: 27050	 True labels: [2]
Removed examples from short-time-memory: 27056	 True labels: [0, 2]
Removed examples from short-time-memory: 27066	 True labels: [0, 2]
Removed examples from short-time-memory: 27070	 True labels: [3]
Removed examples from short-time-memory: 27071	 True labels: [0, 2]
Removed examples from short-time-memory: 27080	 True labels: [3]
Removed examples from short-time-memory: 27121	 True labels: [0, 2]
Removed examples from short-time-memory: 27122	 True labels: [2]
Removed examples from short-time-memory: 27128	 True labels: [0, 2]
Removed examples from short-time-memory: 27129	 True labels: [0, 2]
Removed examples from short-time-memory: 27130	 True labels: [0, 2]
Removed examples from short-time-memory: 27131	 True labels: [0]
Removed examples from short-time-memory: 27136	 True labels: [3]
Removed examples from short-time-memory: 27140	 True labels: [2]
Removed examples from short-time-memory: 27144	 True labels: [0, 2]
Removed examples from short-time-memory: 27158	 True labels: [1]
Removed examples from short-time-memory: 27172	 True labels: [0, 2]
Removed examples from short-time-memory: 27174	 True labels: [0, 2]
Removed examples from short-time-memory: 27182	 True labels: [2]
Removed examples from short-time-memory: 27188	 True labels: [1]
Removed examples from short-time-memory: 27197	 True labels: [3]
Removed examples from short-time-memory: 27209	 True labels: [0, 2]
Removed examples from short-time-memory: 27210	 True labels: [0, 2]
Removed examples from short-time-memory: 27227	 True labels: [0, 2]
Removed examples from short-time-memory: 27230	 True labels: [3]
Removed examples from short-time-memory: 27231	 True labels: [0, 2]
Removed examples from short-time-memory: 27234	 True labels: [0]
Removed examples from short-time-memory: 27240	 True labels: [0, 2]
Removed examples from short-time-memory: 27244	 True labels: [0, 2]
Removed examples from short-time-memory: 27249	 True labels: [3]
Removed examples from short-time-memory: 27261	 True labels: [0, 2]
Removed examples from short-time-memory: 27262	 True labels: [3]
Removed examples from short-time-memory: 27265	 True labels: [1]
Removed examples from short-time-memory: 27273	 True labels: [1]
Removed examples from short-time-memory: 27283	 True labels: [0, 2]
Removed examples from short-time-memory: 27305	 True labels: [2]
Removed examples from short-time-memory: 27307	 True labels: [3]
Removed examples from short-time-memory: 27311	 True labels: [0, 2]
Removed examples from short-time-memory: 27314	 True labels: [1]
Removed examples from short-time-memory: 27322	 True labels: [2]
Removed examples from short-time-memory: 27323	 True labels: [0, 2]
Removed examples from short-time-memory: 27325	 True labels: [3]
Removed examples from short-time-memory: 27326	 True labels: [3]
Removed examples from short-time-memory: 27328	 True labels: [3]
Removed examples from short-time-memory: 27341	 True labels: [1]
Removed examples from short-time-memory: 27344	 True labels: [3]
Removed examples from short-time-memory: 27346	 True labels: [0, 2]
Removed examples from short-time-memory: 27354	 True labels: [3]
Removed examples from short-time-memory: 27355	 True labels: [0, 2]
Removed examples from short-time-memory: 27368	 True labels: [2]
Removed examples from short-time-memory: 27369	 True labels: [1]
Removed examples from short-time-memory: 27376	 True labels: [3]
Removed examples from short-time-memory: 27390	 True labels: [0, 2]
Removed examples from short-time-memory: 27395	 True labels: [2]
Removed examples from short-time-memory: 27402	 True labels: [0, 2]
Removed examples from short-time-memory: 27403	 True labels: [3]
Removed examples from short-time-memory: 27407	 True labels: [2]
Removed examples from short-time-memory: 27410	 True labels: [2]
Removed examples from short-time-memory: 27412	 True labels: [0, 2]
Removed examples from short-time-memory: 27416	 True labels: [0, 2]
Removed examples from short-time-memory: 27417	 True labels: [2]
Removed examples from short-time-memory: 27426	 True labels: [0, 2]
Removed examples from short-time-memory: 27430	 True labels: [1]
Removed examples from short-time-memory: 27433	 True labels: [4]
Removed examples from short-time-memory: 27443	 True labels: [3]
Removed examples from short-time-memory: 27445	 True labels: [0, 2]
Removed examples from short-time-memory: 27452	 True labels: [0, 2]
Removed examples from short-time-memory: 27459	 True labels: [0, 2]
Removed examples from short-time-memory: 27466	 True labels: [0, 2]
